Name,Year,Location,Coordinates
""ProvÃ³came" (2001)","(#1.39)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.44)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.5)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.55)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.60)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.66)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.71)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.77)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.82)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.88)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.93)","Buenos Aires, Federal District, Argentina","None"
""ProvÃ³came" (2001)","(#1.99)","Buenos Aires, Federal District, Argentina","None"
""Pump Up the Volume"","2001","New York City, New York, USA","(40.7127281, -74.0060152)"
""Pusselbitar"","2001","Kungsgatan, Norrmalm, Stockholm, Stockholms lÃ¤n, Sweden","None"
""Rady ptÃ¡ka LoskutÃ¡ka"","2001","Czech Republic","(49.8167003, 15.4749544)"
""Raising Dad"","2001","Hollywood, Los Angeles, California, USA","(34.0980031, -118.329523)"
""Raising Dad" (2001) {Daughter Nose Best","#1.21)","(studio)","(52.2326368, 21.0067376)"
""Raising Dad" (2001) {Matt&Sarah@Gossip.com","#1.10)","(studio)","(52.2326368, 21.0067376)"
""Raising Dad" (2001) {Teacher Evaluations","#1.9)","(studio)","(52.2326368, 21.0067376)"
""Real Life Teens"","2001","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Reba"","2001","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {And the Grammy Goes To...","#2.18)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Brock's Swan Song","#1.13)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Couples' Therapy","#4.6)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Encounters","#3.6)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Go Far","#4.20)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Hello, My Name Is Cheyenne","#4.22)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {It Ain't Over till the Red-Head Sings","#1.22)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Locked and Loaded","#6.7)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {No Good Deed","#5.5)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Reba and the One","#5.2)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Regarding Henry","#3.9)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {She's Leaving Home, Bye, Bye","#3.1)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Surprise","#4.5)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {The Accidental Role Model","#4.1)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {The Cat's Meow","#3.8)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {The Honeymoon's Over or Now What?","#1.2)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {The Rings","#2.12)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {The United Front","#3.12)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {Two Weddings and a Funeral","#5.21)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Reba" (2001) {When Good Credit Goes Bad","#1.10)","Stage 20, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","None"
""Red Light Girls"","2001","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Redonditas for Ever"","2001","Buenos Aires, Federal District, Argentina","None"
""Revolver"","2001","Glasgow, Strathclyde, Scotland, UK","(55.8317061, -4.0333295)"
""Risk"","2001","London, England, UK","(51.5073219, -0.1276474)"
""Ritmo y sabor"","2001","(exteriors)","(54.690060349999996, 25.268413554622093)"
""Road Trip with Huell Howser" (2001) {Anza-Borrego","#1.48)","Borrego Springs, California, USA","(33.2566792, -116.3782682)"
""Road Trip with Huell Howser" (2001) {Barstow","#1.1)","(I-15 Ghost Town Road exit)","None"
""Road Trip with Huell Howser" (2001) {Barstow","#1.1)","(one of the oldest existing locations)","None"
""Road Trip with Huell Howser" (2001) {Big Bear","#1.23)","San Bernardino County, California, USA","(34.8253019, -116.0833144)"
""Road Trip with Huell Howser" (2001) {California Corners: Northeast","#1.30)","(north from Fort Bidwell)","None"
""Road Trip with Huell Howser" (2001) {California Corners: Northwest","#1.29)","(Shipboard Gifts and Museum)","None"
""Road Trip with Huell Howser" (2001) {California Corners: Northwest","#1.29)","(hiking down the river to access the coast)","None"
""Road Trip with Huell Howser" (2001) {City of Orange","#1.40)","Watson Drug Store - 116 E. Chapman Avenue, Orange, California, USA","None"
""Road Trip with Huell Howser" (2001) {Eureka","#1.28)","Eureka, California, USA","(40.7906871, -124.1673746)"
""Road Trip with Huell Howser" (2001) {Ferndale","#1.49)","Humboldt County, California, USA","(40.5997415, -123.8997734)"
""Road Trip with Huell Howser" (2001) {Jamestown","#1.53)","Railtown 1897 State Historic Park - Jamestown, California, USA","(37.95092975, -120.41757334609795)"
""Road Trip with Huell Howser" (2001) {Newberry Springs","#1.7)","San Bernardino County, California, USA","(34.8253019, -116.0833144)"
""Road Trip with Huell Howser" (2001) {Ridge Route","#1.22)","Los Angeles County, California, USA","(34.3155072, -118.2096814)"
""Road Trip with Huell Howser" (2001) {San Juan Capistrano","#1.45)","The Ramos House Cafe - 31752 Los Rios Street, San Juan Capistrano, California, USA","None"
""Road Trip with Huell Howser" (2001) {Sanger","#1.51)","Sanger, California, USA","(36.708006, -119.5559652)"
""Road Trip with Huell Howser" (2001) {Seabiscuit","#1.25)","(Seabiscuit exhibit)","None"
""Road Trip with Huell Howser" (2001) {Solvang","#1.13)","(one of the oldest buildings in town)","None"
""Road Trip with Huell Howser" (2001) {Solvang","#1.13)","(famous red traesko)","None"
""Rodeo Drive"","2001","Beverly Hills, California, USA","(34.0696501, -118.3963062)"
""Rolf on Art" (2001) {Africa","pecial","Ghana","(8.0300284, -1.0800271)"
""Rumores"","2001","Monterrey, Nuevo LeÃ³n, Mexico","None"
""Russell Coight's All Aussie Adventures" (2001) {Daintree","#1.3)","Kununurra District High School, Kununurra, Western Australia, Australia","(-15.7695094, 128.73651934031818)"
""S Club 7 in Hollywood" (2001) {The Cousin","#3.7)","(S club rent house)","None"
""S Club 7 in Hollywood" (2001) {The Vanishing","#3.11)","(S club rent house)","None"
""SOKO Leipzig" (2001) {Aus der Deckung","#16.20)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Bewegliche Ziele","#14.18)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001)","Borderline","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Das zweite Leben","#12.17)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Der Strahl","#16.17)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Der einzige Zeuge","#14.10)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Die BrÃ¼cke","#17.8)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Die WohlfÃ¼hl GmbH","#12.10)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Ein Fall fÃ¼r Rettig","#16.21)","(studio)","(52.2326368, 21.0067376)"
""SOKO Leipzig" (2001) {Emanuela, Teil 1","#8.2)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {ErlÃ¶sung","#15.8)","Moritzsee, Naunhof, Saxony, Germany","(51.29718765, 12.60800235278872)"
""SOKO Leipzig" (2001) {Full House","#17.6)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Getrieben, Teil 1","#12.6)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Haus am See","#12.9)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Istanbul Connection","#8.1)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Leipzig kloppt","#12.4)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Made in Bangladesh","#14.6)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Neues Leben","#16.14)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Schutzlos","#16.7)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Sprengstoff","#15.2)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Teufel im Himmelreich","#12.15)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Toy Boy","#17.13)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Vaterliebe","#17.9)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""SOKO Leipzig" (2001) {Wem gehÃ¶rt die Stadt","#15.7)","Leipzig, Saxony, Germany","(51.3406321, 12.3747329)"
""Sagwa, the Chinese Siamese Cat"","2001","(Sesame Workshop studio)","None"
""SalÃ³ de lectura"","2001","Barcelona, Catalonia, Spain","(41.3828939, 2.1774322)"
""SchÃ¤tze des Landes"","2001","Baden-WÃ¼rttemberg, Germany","None"
""Scope"","2001","Pasadena, California, USA","(34.1476452, -118.1444779)"
""Scream Test"","2001","Maitland, New South Wales, Australia","(-32.7316683, 151.5511123)"
""Scrubs"","2001","North Hollywood Medical Center - 12699 Riverside Drive, North Hollywood, Los Angeles, California, USA","None"
""Scrubs" (2001) {Our Drunk Friend","#9.2)","(studio)","(52.2326368, 21.0067376)"
""Scrubs" (2001) {Our Stuff Gets Real","#9.9)","(studio)","(52.2326368, 21.0067376)"
""Seconds from Death"","2001","Mount St. Helens, Mount St. Helens National Volcanic Monument, Washington, USA","None"
""SeitsemÃ¤n"","2001","Vantaa, Finland","(60.3091871, 25.0364526)"
""Semeynye tayny"","2001","Moscow, Russia","(55.7504461, 37.6174943)"
""Shotetut"","2001","Haifa, Israel","(32.8191218, 34.9983856)"
""Shredded Week"","2001","Glasgow, Strathclyde, Scotland, UK","(55.8317061, -4.0333295)"
""Sinterklaasjournaal"","2001","Maarssen, Utrecht, Netherlands","(52.1384846, 5.040082)"
""Six Feet Under"","2001","Hollywood, Los Angeles, California, USA","(34.0980031, -118.329523)"
""Six Feet Under" (2001) {Back to the Garden","#2.7)","Hollywood Forever Cemetery - 6000 Santa Monica Blvd., Hollywood, Los Angeles, California, USA","None"
""Six Feet Under" (2001) {Crossroads","#1.8)","(Fisher house exterior)","None"
""Six Feet Under" (2001) {Perfect Circles","#3.1)","Runyon Canyon, Los Angeles, California, USA","(34.112335900000005, -118.35074410186485)"
""Six Feet Under" (2001) {The Room","#1.6)","(studio)","(52.2326368, 21.0067376)"
""Slave Nation"","2001","Leeds, West Yorkshire, England, UK","(53.7974185, -1.5437941)"
""Smallville"","2001","(Crater Lake)","(42.94152615, -122.09882028426762)"
""Smallville"","2001","Richmond, British Columbia, Canada","(49.163168, -123.137414)"
""Smallville" (2001) {Absolute Justice","#9.11)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Ageless","#4.20)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Asylum","#3.9)","(Smallville High School)","None"
""Smallville" (2001) {Blank","#4.19)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Calling","#2.22)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Commencement","#4.22)","Whistler, British Columbia, Canada","(50.1171903, -122.9543022)"
""Smallville" (2001) {Covenant","#3.22)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Crisis","#3.16)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Crush","#1.19)","Burnaby, British Columbia, Canada","(49.2433804, -122.9725459)"
""Smallville" (2001) {Delete","#3.11)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Dichotic","#2.9)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Duplicity","#2.3)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Exodus","#2.23)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Extinction","#3.3)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {FaÃ§ade","#4.3)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Forever","#4.21)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Fragile","#5.18)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Heat","#2.2)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Hidden","#5.3)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Hourglass","#1.6)","Richmond, British Columbia, Canada","(49.163168, -123.137414)"
""Smallville" (2001) {Hydro","#6.10)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Jinx","#4.7)","(Smallville High School)","None"
""Smallville" (2001) {Kinetic","#1.13)","(Smallville High School)","None"
""Smallville" (2001) {Leech","#1.12)","Cleveland Dam, Capilano River Regional Park, North Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Legacy","#3.17)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Lineage","#2.7)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Magnetic","#3.7)","(Smallville High School)","None"
""Smallville" (2001) {Mercy","#5.19)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Mortal","#5.2)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Nocturne","#2.5)","Langley, British Columbia, Canada","(49.098648749999995, -122.65923259915698)"
""Smallville" (2001) {Obscura","#1.20)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Onyx","#4.17)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Perry","#3.5)","(Smallville High School)","None"
""Smallville" (2001) {Phoenix","#3.2)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Pilot","#1.1)","New Westminster, British Columbia, Canada","(49.2067726, -122.9108818)"
""Smallville" (2001) {Precipice","#2.19)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Progeny","#6.18)","British Columbia, Canada","(55.001251, -125.002441)"
""Smallville" (2001) {Reckoning","#5.12)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Red","#2.4)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Relic","#3.6)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Rogue","#1.9)","Robson Square, Vancouver, British Columbia, Canada","(49.28269645, -123.12068131061214)"
""Smallville" (2001) {Rosetta","#2.17)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Rush","#2.14)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Sacred","#4.15)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Shattered","#3.8)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Skinwalker","#2.10)","Langley, British Columbia, Canada","(49.098648749999995, -122.65923259915698)"
""Smallville" (2001) {Sneeze","#6.2)","British Columbia, Canada","(55.001251, -125.002441)"
""Smallville" (2001) {Spell","#4.8)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Stray","#1.16)","(Smallville High School)","None"
""Smallville" (2001) {Suspect","#2.13)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Tempest","#1.21)","Langley, British Columbia, Canada","(49.098648749999995, -122.65923259915698)"
""Smallville" (2001) {Tomb","#5.14)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Truth","#3.18)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Unsafe","#4.11)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Vessel","#5.22)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Visitor","#2.18)","University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada","None"
""Smallville" (2001) {Vortex","#2.1)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Smallville" (2001) {Witness","#2.20)","Surrey, British Columbia, Canada","(49.1913033, -122.8491439)"
""Smallville" (2001) {X-Ray","#1.4)","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""So Little Time" (2001) {Dog Day Afternoon","#1.1)","Stage 42, Universal Studios - 100 Universal City Plaza, Universal City, California, USA","None"
""So Little Time" (2001) {Manuelo in the Middle: Part 1","#1.7)","Stage 42, Universal Studios - 100 Universal City Plaza, Universal City, California, USA","None"
""So Little Time" (2001) {Sweet 16","#1.26)","Stage 42, Universal Studios - 100 Universal City Plaza, Universal City, California, USA","None"
""So Little Time" (2001) {The Job","#1.19)","Stage 42, Universal Studios - 100 Universal City Plaza, Universal City, California, USA","None"
""So Little Time" (2001) {Trading Places","#1.22)","Stage 42, Universal Studios - 100 Universal City Plaza, Universal City, California, USA","None"
""Some of My Best Friends" (2001) {A Brief Encounter","#1.4)","(studio)","(52.2326368, 21.0067376)"
""Some of My Best Friends" (2001) {Shaggy Dog Story","#1.5)","(studio)","(52.2326368, 21.0067376)"
""Son of God"","2001","Galilee, Israel","(33.241069, 35.6556542)"
""Special Unit 2"","2001","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Spiritual Outdoor Adventures"","2001","Hawaii, USA","(19.593801499999998, -155.42837009716908)"
""Star Academy"","2001","Le Marais, Paris, France","(48.8603823, 2.360742)"
""Suuri seikkailu"","2001","(2005)","(-33.888549499999996, 151.23609168421052)"
""SÃ³lo D FÃºtbol"","2001","Mexico","(23.6585116, -102.0077097)"
""Tales from Pleasure Beach"","2001","Aberavon, Neath Port Talbot, Wales, UK","(51.60014, -3.7954912)"
""Teachers"","2001","Lockleaze School, Lockleaze, Bristol, England, UK","(51.4873697, -2.5648853766175916)"
""Teachers" (2001)","(#1.6)","(first three seasons)","None"
""Teachers" (2001)","(#2.3)","(first three seasons)","None"
""Teachers" (2001)","(#2.9)","(first three seasons)","None"
""Teachers" (2001)","(#3.2)","(first three seasons)","None"
""Teachers" (2001)","(#3.8)","(first three seasons)","None"
""Temptation Island"","2001","Roatan, Honduras","(16.3274234, -86.53648145696454)"
""Terra de Miranda"","2001","MondoÃ±edo, Lugo, Galicia, Spain","None"
""That's My Bush!" (2001) {Eenie, Meenie, Miney, MURDER!","#1.3)","Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA","None"
""The 1940s House"","2001","West Wickham, Kent, England, UK","(51.36336405, -0.018854867840611328)"
""The Amazing Race"","2001","(season 2 - episode 10)","None"
""The Amazing Race"","2001","(episode 3)","(34.705539349999995, 135.51151504295774)"
""The Amazing Race"","2001","(season 2 - episode 8)","None"
""The Amazing Race"","2001","(season 2 - episode 1)","None"
""The Amazing Race"","2001","(season 7 - episode 12)","None"
""The Amazing Race"","2001","(season 7 - episode 12)","None"
""The Amazing Race"","2001","(season 9 - episode 8)","None"
""The Amazing Race"","2001","(season 2 - episode 4, 5)","None"
""The Amazing Race"","2001","(season 1 - episode 4, 5)","None"
""The Amazing Race"","2001","(season 7 - episode 3)","None"
""The Amazing Race"","2001","(season 1 - episode 10)","None"
""The Amazing Race"","2001","(season 9 - episode 7, episode 8)","None"
""The Amazing Race"","2001","(season 3 - episode 8)","None"
""The Amazing Race"","2001","(season 6 - episode 10)","None"
""The Amazing Race"","2001","(season 1 - episode 4)","None"
""The Amazing Race"","2001","(season 4 - episode 3)","None"
""The Amazing Race"","2001","(season 1 - episode 9) (season 2 - episode 5) (season 9 - episode 11, episode 12)","None"
""The Amazing Race"","2001","(season 7 - episode 11)","None"
""The Amazing Race"","2001","(season 1 - episode 11, 12)","None"
""The Amazing Race"","2001","(season 8 - episode 12)","None"
""The Amazing Race"","2001","(season 8 - episode 7)","None"
""The Amazing Race"","2001","(season 6 - episode 2)","None"
""The Amazing Race"","2001","(season 8 - episode 1)","None"
""The Amazing Race"","2001","(season 6 - episode 6)","None"
""The Amazing Race"","2001","(season 5 - episode 8)","None"
""The Amazing Race"","2001","(season 3 - episode 6)","None"
""The Amazing Race"","2001","(season 5 - episode 9)","None"
""The Amazing Race"","2001","(season 6 - episode 9)","None"
""The Amazing Race"","2001","(season 3 - episode 2)","None"
""The Amazing Race"","2001","(season 8 - episode 2)","None"
""The Amazing Race"","2001","(season 5 - episode 1)","None"
""The Amazing Race"","2001","(season 5 - episode 4, episode 5)","None"
""The Amazing Race"","2001","(season 5 - episode 3)","None"
""The Amazing Race"","2001","(episode 2)","(33.6816369, -117.7188318)"
""The Amazing Race"","2001","(season 6 - episode 6)","None"
""The Amazing Race"","2001","(season 1 - episode 10) (as Chicken Island)","None"
""The Amazing Race"","2001","(season 4 - episode 1)","None"
""The Amazing Race"","2001","(episode 2)","(33.6816369, -117.7188318)"
""The Amazing Race"","2001","(season 7 - episode 2)","None"
""The Amazing Race"","2001","(season 9 - episode 7)","None"
""The Amazing Race"","2001","(season 5 - episode 6)","None"
""The Amazing Race"","2001","(season 6 - episode 4, episode 5)","None"
""The Amazing Race"","2001","(season 9 - episode 10, episode 11)","None"
""The Amazing Race"","2001","(season 1 - episode 12, 13)","None"
""The Amazing Race"","2001","(season 4 - episode 1)","None"
""The Amazing Race"","2001","(season 6 - episode 13)","None"
""The Amazing Race"","2001","(season 3 - episode 3, 4)","None"
""The Amazing Race"","2001","(season 8 - episode 3)","None"
""The Amazing Race"","2001","(season 3 - episode 2)","None"
""The Amazing Race"","2001","(season 9 - episode 4)","None"
""The Amazing Race"","2001","(season 7 - episode 4)","None"
""The Amazing Race"","2001","(season 3 - episode 4)","None"
""The Amazing Race"","2001","(season 8 - episode 4)","None"
""The Amazing Race"","2001","(season 3 - episode 5, 6)","None"
""The Amazing Race"","2001","(season 9 - episode 7)","None"
""The Amazing Race"","2001","(season 5 - episode 12)","None"
""The Amazing Race"","2001","(episode 4)","(34.705539349999995, 135.51151504295774)"
""The Amazing Race"","2001","(season 7 - episode 12)","None"
""The Amazing Race"","2001","(season 2 - episode 2)","None"
""The Amazing Race"","2001","(season 1 - episode 6)","None"
""The Amazing Race"","2001","(season 8 - episode 10)","None"
""The Amazing Race"","2001","(season 4 - episode 4)","None"
""The Amazing Race"","2001","(season 8 - episode 1)","None"
""The Amazing Race"","2001","(season 8 - episode 8)","None"
""The Amazing Race"","2001","(season 1 - episode 5)","None"
""The Amazing Race"","2001","(season 7 - episode 12)","None"
""The Amazing Race"","2001","(season 3 - episode 8, 9)","None"
""The Amazing Race"","2001","(season 7 - episode 10)","None"
""The Amazing Race"","2001","(episode 11)","(33.6816369, -117.7188318)"
""The Amazing Race"","2001","(episode 13)","(33.6816369, -117.7188318)"
""The Amazing Race"","2001","(season 3 - episode 11)","None"
""The Amazing Race"","2001","(season 3 - episode 11)","None"
""The Amazing Race"","2001","(season 2 - episode 7)","None"
""The Amazing Race"","2001","(season 4 - episode 1, 2)","None"
""The Amazing Race"","2001","(season 3 - episode 1)","None"
""The Amazing Race"","2001","(season 6 - episode 12)","None"
""The Amazing Race"","2001","(season 6 - episode 3)","None"
""The Amazing Race"","2001","(season 7 - episode 1, episode 2)","None"
""The Amazing Race"","2001","(season 9 - episode 8)","None"
""The Amazing Race"","2001","(season 3 - episode 7)","None"
""The Amazing Race"","2001","(season 3 - episode 11)","None"
""The Amazing Race"","2001","(episode 1)","(52.3691018, 4.9008527)"
""The Amazing Race"","2001","(season 3 - episode 9)","None"
""The Amazing Race"","2001","(season 1 - episode 1, 2) (season 7 - episode 5)","None"
""The Amazing Race"","2001","(episode 1)","(52.3691018, 4.9008527)"
""The Amazing Race"","2001","(season 7 - episode 8)","None"
""The Amazing Race"","2001","(episode 10)","(33.6816369, -117.7188318)"
""The Amazing Race"","2001","(season 3 - episode 9)","None"
""The Amazing Race"","2001","(season 2 - episode 6, 7)","None"
""The Amazing Race"","2001","(season 6 - episode 4)","None"
""The Amazing Race"","2001","(season 7 - episode 6, episode 8)","None"
""The Amazing Race"","2001","(season 2 - episode 8)","None"
""The Amazing Race"","2001","(season 7 - episode 8)","None"
""The Amazing Race"","2001","(season 1 - episode 5)","None"
""The Amazing Race"","2001","(season 6 - episode 9, episode 10)","None"
""The Amazing Race"","2001","(season 5 - episode 2)","None"
""The Amazing Race"","2001","(season 9 - episode 10, episode 11)","None"
""The Amazing Race"","2001","(episode 12; opening summary shots)","None"
""The Amazing Race"","2001","(season 8 - episode 1, episode 2)","None"
""The Amazing Race"","2001","(season 8 - episode 11)","None"
""The Amazing Race"","2001","(season 7 - episode 5)","None"
